Pagina,Apparaatcategorie,Besturingssysteem,Browser,Browserversie,Unieke paginaweergaves
/templates/winkelwagen.asp,desktop,Windows,Chrome,41.0.2272.101,14
/templates/winkelwagen.asp,desktop,Windows,Firefox,29.0,14
/templates/winkelwagen.asp,desktop,Windows,Firefox,40.0,14
/templates/winkelwagen.asp,desktop,Windows,Internet Explorer,8.0,14
/shop/checkout.asp,desktop,Windows,Chrome,39.0.2171.71,13
/shop/psp/IDEC/cfm.asp,desktop,Windows,Internet Explorer,10.0,13
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,36.0.1985.125,13
/templates/bestellen.asp,desktop,Windows,Chrome,42.0.2311.135,13
/templates/bestellen.asp,desktop,Windows,Chrome,49.0.2623.110,13
/templates/bestellen.asp,desktop,Windows,Firefox,32.0,13
/templates/winkelwagen.asp,desktop,Windows,Chrome,48.0.2564.109,13
/templates/winkelwagen.asp,tablet,iOS,Safari,9.0,13
/shop/checkout.asp,desktop,Windows,Chrome,36.0.1985.143,12
/shop/checkout.asp,desktop,Windows,Chrome,47.0.2526.106,12
/shop/checkout.asp,desktop,Windows,Internet Explorer,8.0,12
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,35.0.1916.153,12
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,39.0.2171.71,12
/templates/bestellen.asp,desktop,Windows,Chrome,46.0.2490.86,12
/templates/bestellen.asp,desktop,Windows,Firefox,31.0,12
/templates/winkelwagen.asp,desktop,Windows,Chrome,42.0.2311.135,12
/templates/winkelwagen.asp,desktop,Windows,Chrome,49.0.2623.110,12
/shop/checkout.asp,desktop,Windows,Chrome,37.0.2062.120,11
/shop/checkout.asp,desktop,Windows,Firefox,33.0,11
/shop/psp/IDEC/cfm.asp,desktop,Windows,Edge,12.10240,11
/templates/bestellen.asp,desktop,Windows,Firefox,30.0,11
/templates/winkelwagen.asp,desktop,Windows,Chrome,40.0.2214.115,11
/templates/winkelwagen.asp,desktop,Windows,Chrome,47.0.2526.111,11
/shop/checkout.asp,desktop,Windows,Chrome,41.0.2272.101,10
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,39.0.2171.95,10
/shop/psp/IDEC/cfm.asp,desktop,Windows,Edge,13.10586,10
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,36.0.1985.143,10
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,37.0.2062.120,10
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,38.0.2125.111,10
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,47.0.2526.106,10
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,33.0,10
/templates/bestellen.asp,desktop,Macintosh,Safari,6.1.6,10
/templates/bestellen.asp,desktop,Windows,Chrome,42.0.2311.90,10
/templates/bestellen.asp,desktop,Windows,Chrome,46.0.2490.80,10
/templates/bestellen.asp,desktop,Windows,Firefox,44.0,10
/templates/bestellen.asp,desktop,Windows,Firefox,45.0,10
/templates/winkelwagen.asp,desktop,Windows,Chrome,46.0.2490.86,10
/templates/winkelwagen.asp,desktop,Windows,Firefox,30.0,10
/templates/winkelwagen.asp,desktop,Windows,Firefox,31.0,10
/shop/checkout.asp,desktop,Windows,Firefox,29.0,9
/shop/checkout.asp,desktop,Windows,Firefox,40.0,9
/shop/checkout.asp,tablet,iOS,Safari,9.0,9
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,41.0.2272.101,9
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,40.0,9
/shop/selectpaymentmethod.asp,desktop,Windows,Internet Explorer,8.0,9
/templates/bestellen.asp,desktop,Windows,Chrome,38.0.2125.104,9
/templates/bestellen.asp,desktop,Windows,Firefox,35.0,9
/templates/bestellen.asp,desktop,Windows,Firefox,41.0,9
/templates/bestellen.asp,desktop,Windows,Internet Explorer,7.0,9
/templates/winkelwagen.asp,desktop,Windows,Chrome,38.0.2125.104,9
/templates/winkelwagen.asp,desktop,Windows,Chrome,42.0.2311.90,9
/templates/winkelwagen.asp,desktop,Windows,Firefox,45.0,9
/shop/checkout.asp,desktop,Windows,Chrome,37.0.2062.124,8
/shop/checkout.asp,desktop,Windows,Chrome,40.0.2214.115,8
/shop/checkout.asp,desktop,Windows,Chrome,43.0.2357.124,8
/shop/checkout.asp,desktop,Windows,Chrome,48.0.2564.116,8
/shop/checkout.asp,desktop,Windows,Chrome,49.0.2623.87,8
/shop/checkout.asp,desktop,Windows,Firefox,36.0,8
/shop/checkout.asp,desktop,Windows,Firefox,42.0,8
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,36.0.1985.125,8
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,39.0.2171.71,8
/shop/psp/IDEC/cfm.asp,tablet,iOS,Safari,9.0,8
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,48.0.2564.116,8
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,49.0.2623.87,8
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,29.0,8
/shop/selectpaymentmethod.asp,tablet,iOS,Safari,9.0,8
/templates/bestellen.asp,desktop,Macintosh,Safari,5.1.9,8
/templates/bestellen.asp,desktop,Windows,Chrome,34.0.1847.137,8
/templates/bestellen.asp,desktop,Windows,Chrome,43.0.2357.124,8
/templates/bestellen.asp,desktop,Windows,Chrome,45.0.2454.101,8
/templates/bestellen.asp,desktop,Windows,Firefox,36.0,8
/templates/bestellen.asp,desktop,Windows,Firefox,38.0,8
/templates/bestellen.asp,desktop,Windows,Firefox,42.0,8
/templates/bestellen.asp,desktop,Windows,Firefox,43.0,8
/templates/winkelwagen.asp,desktop,Macintosh,Safari,6.1.6,8
/templates/winkelwagen.asp,desktop,Windows,Chrome,43.0.2357.124,8
/templates/winkelwagen.asp,desktop,Windows,Firefox,32.0,8
/templates/winkelwagen.asp,desktop,Windows,Firefox,38.0,8
/templates/winkelwagen.asp,desktop,Windows,Firefox,41.0,8
/templates/winkelwagen.asp,desktop,Windows,Firefox,42.0,8
/templates/winkelwagen.asp,desktop,Windows,Firefox,43.0,8
/templates/winkelwagen.asp,desktop,Windows,Firefox,44.0,8
/templates/winkelwagen.asp,desktop,Windows,Internet Explorer,7.0,8
/shop/checkout.asp,desktop,Windows,Chrome,38.0.2125.104,7
/shop/checkout.asp,desktop,Windows,Chrome,42.0.2311.135,7
/shop/checkout.asp,desktop,Windows,Chrome,44.0.2403.157,7
/shop/checkout.asp,desktop,Windows,Chrome,47.0.2526.111,7
/shop/checkout.asp,desktop,Windows,Chrome,48.0.2564.109,7
/shop/checkout.asp,desktop,Windows,Firefox,41.0,7
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,35.0.1916.114,7
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,38.0.2125.111,7
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,40.0.2214.115,7
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,37.0.2062.124,7
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,40.0.2214.115,7
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,42.0.2311.135,7
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,43.0.2357.124,7
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,47.0.2526.111,7
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,36.0,7
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,41.0,7
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,42.0,7
/templates/bestellen.asp,desktop,Macintosh,Safari,8.0.3,7
/templates/bestellen.asp,desktop,Windows,Chrome,33.0.1750.154,7
/templates/bestellen.asp,desktop,Windows,Chrome,39.0.2171.99,7
/templates/bestellen.asp,desktop,Windows,Firefox,34.0,7
/templates/bestellen.asp,mobile,iOS,Safari,9.0,7
